content_id,status,reviewer,decision,notes,timestamp,revision_history
WRR-USAIDCIA-P01-TT-SHORT-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-TT-SHORT-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-TT-SHORT-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-TT-MEDIUM-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-TT-MEDIUM-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-TT-LONGSHORT-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-PHOTO-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-PHOTO-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-PHOTO-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-REEL-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-REEL-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-FB-LONG-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-IG-REEL-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-IG-REEL-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-IG-REEL-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-IG-CAROUSEL-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-IG-IMAGE-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-POST-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-POST-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-POST-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-POST-004,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-POST-005,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-THREAD-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-IMAGE-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-IMAGE-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-X-IMAGE-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SUB-NOTE-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SUB-NOTE-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SUB-NOTE-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SUB-NOTE-004,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-YT-SHORT-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-YT-SHORT-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-YT-SHORT-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-RD-POST-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-REF-CTA-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-REF-CTA-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-REF-CTA-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-PAID-CTA-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-PAID-CTA-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-PAID-CTA-003,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SERIES-TEASER-001,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SERIES-TEASER-002,NEEDS_REVIEW,,,,,[]
WRR-USAIDCIA-P01-SERIES-TEASER-003,NEEDS_REVIEW,,,,,[]
